setID	objID
82974	7358
82974	7360
82974	7363
82974	7364
82974	7365
82974	7366
82974	7367
82974	8972
82974	9365
82974	10720
82974	11181
82974	54575
82974	54577
82974	54579
82974	54600
82974	54658
82974	55276
82974	57733
82974	57818
82974	79799
82974	80146
82974	80201
82974	92579
82974	283209
82975	1603
82975	1650
82975	1798
82975	2530
82975	2683
82975	3703
82975	4121
82975	4122
82975	4124
82975	4245
82975	4248
82975	4249
82975	6184
82975	6185
82975	6480
82975	7841
82975	7991
82975	8703
82975	8704
82975	8813
82975	10195
82975	10905
82975	11253
82975	11282
82975	11320
82975	22845
82975	23193
82975	25834
82975	29880
82975	29929
82975	54344
82975	56052
82975	57134
82975	79053
82975	79087
82975	79796
82975	79868
82975	84620
82975	84920
82975	85365
82975	91869
82975	144245
82975	146664
82975	199857
82975	201595
82975	440138
82976	175
82976	2517
82976	2519
82976	2629
82976	2720
82976	3073
82976	3074
82976	4123
82976	4125
82976	4126
82976	4758
82976	4759
82976	10825
82976	23324
82976	57704
82976	64772
82976	129807
82977	2589
82977	2590
82977	2591
82977	2650
82977	6482
82977	6483
82977	9245
82977	9334
82977	11226
82977	11227
82977	26290
82977	29071
82977	51301
82977	51809
82977	55568
82977	55808
82977	56913
82977	57452
82977	63917
82977	64409
82977	79623
82977	79695
82977	117248
82977	168391
82977	192134
82977	374378
82977	442117
82978	2529
82978	2683
82978	3955
82978	4242
82978	6480
82978	8473
82978	8703
82978	8704
82978	8705
82978	8985
82978	9486
82978	10585
82978	10690
82978	23127
82978	23275
82978	23509
82978	27087
82978	29954
82978	56983
82978	79709
82978	84620
82978	135152
82978	145173
82978	146664
82978	283464
82978	285203
82978	727936
82979	1118
82979	1727
82979	2582
82979	2584
82979	2585
82979	2592
82979	2645
82979	2673
82979	2762
82979	2821
82979	3073
82979	3074
82979	3098
82979	3099
82979	3101
82979	4351
82979	5238
82979	5372
82979	5373
82979	5973
82979	6675
82979	7264
82979	7358
82979	7360
82979	9945
82979	10007
82979	10020
82979	29925
82979	29926
82979	51005
82979	51700
82979	51706
82979	54187
82979	55276
82979	55577
82979	55907
82979	80146
82979	80201
82979	80896
82979	132789
82979	140838
82979	197258
82981	411
82981	2588
82981	2720
82981	2799
82981	3073
82981	3074
82981	3373
82981	3423
82981	3425
82981	4669
82981	6448
82981	6677
82981	8372
82981	8692
82981	10855
82981	23553
82981	138050
82982	9469
82982	10090
82982	26229
82982	29940
82982	50515
82982	51363
82982	54480
82982	55454
82982	55501
82982	55790
82982	64131
82982	64132
82982	79586
82982	113189
82982	337876
82983	2530
82983	2683
82983	4166
82983	6482
82983	6483
82983	8534
82983	8702
82983	8703
82983	8704
82983	10164
82983	10678
82983	11041
82983	93010
82984	2131
82984	2132
82984	2134
82984	2135
82984	2137
82984	3340
82984	8509
82984	9348
82984	9394
82984	9953
82984	9955
